22,NaN,NaN,NaN,529.9,0,0,0,569,-85.2,0,0.04784,112.91,25.016,2,0
23,NaN,NaN,NaN,529.6,0,0,0,307.3,-47.9,0,0.044914,112.87,23.876,2,0
61,NaN,NaN,NaN,530,0,2906.9,33.8,0,0,0,0.21162,113.66,23.546,1,0
62,NaN,NaN,NaN,528.1,0,599.4,316.1,0,0,0,0.030144,113.58,24.249,1,0
63,NaN,NaN,NaN,529.3,0,221.1,96.1,0,0,0,0.083743,113.42,24.787,1,0
64,NaN,NaN,NaN,529.4,0,1456.7,279.1,0,0,0,0.11885,113.42,23.603,1,0
65,NaN,NaN,NaN,529.7,0,1067.9,92.5,0,0,0,0.19284,113.42,23.373,1,0
67,NaN,NaN,NaN,524.5,0,2024.6,-242.9,0,0,0,0.0052564,112.59,24.471,1,0
68,NaN,NaN,NaN,532,0,328.8,65.3,0,0,0,0.07293,112.86,23.438,1,0
69,NaN,NaN,NaN,534.1,0,602.8,10,0,0,0,0.039065,112.39,23.861,1,0
77,NaN,NaN,NaN,531,0,0,0,4936.4,-113.4,0,0.11885,113.66,23.704,2,0
78,NaN,NaN,NaN,228.3,0,0,0,1654.7,-81,0,0.19284,113.22,23.467,2,0
