4,NaN,NaN,NaN,530.1,NaN,0,0,1356.8,188.6,0,0.012904,110.07,22.43,2
5,NaN,NaN,NaN,NaN,NaN,53.8,25.4,852,-236.1,0,0.016691,109.73,20.09,2
6,NaN,NaN,NaN,527.8,NaN,0,0,1104,-117.9,0,0.023461,110.46,21.081,2
7,NaN,NaN,NaN,527.8,NaN,108,32.4,1500,22.7,0,0.063935,111.95,21.72,2
25,NaN,NaN,NaN,526.6,NaN,0,0,0,0,0,0.025879,110.9,21.829,1
26,NaN,NaN,NaN,527.6,NaN,0,0,0,0,0,0.051017,110.12,21.12,1
27,NaN,NaN,NaN,528.2,NaN,725.2,-13.1,0,0,0,0.13651,111.97,22.18,1
28,NaN,NaN,NaN,229.5,NaN,233,40,0,0,0,0.037164,112.23,22.609,1
29,NaN,NaN,NaN,530.9,NaN,128.6,40.5,0,0,0,0.077021,112.41,22.336,1
30,NaN,NaN,NaN,528,NaN,731,100.4,0,0,0,0.081105,112.54,23.007,1
32,NaN,NaN,NaN,527.3,NaN,757.3,-8.2,0,0,0,0.14562,112.86,22.859,1
33,NaN,NaN,NaN,530.3,NaN,459.1,77.9,0,0,0,0.15383,112.85,22.5,1
62,NaN,NaN,NaN,528,NaN,0,0,1360.3,-33,0,0.030144,112.34,23.093,2
