5,NaN,NaN,NaN,536,0,0,0,2162.4,66.9,0,0.016691,112.91,21.953,2,1
6,NaN,NaN,NaN,530,0,0,0,377.6,-23.4,0,0.023461,113,21.946,2,0
7,NaN,NaN,NaN,532.6,0,0,0,212,30.4,0,0.063935,113.33,22.233,2,1
8,NaN,NaN,NaN,533.7,0,0,0,284.6,27.5,0,0.082243,113.6,23.008,2,0
9,NaN,NaN,NaN,533.7,0,0,0,301.7,119,0,0.072321,113.63,22.943,2,0
24,NaN,NaN,NaN,531.3,0,0,0,1270.4,-249.8,0,0.051782,111.74,22.713,2,1
29,NaN,NaN,NaN,534,0,533.9,5.1,0,0,0,0.077021,112.59,22.685,1,0
31,NaN,NaN,NaN,529.8,0,1160.4,4.1,0,0,0,0.08937,112.7,22.635,1,0
33,NaN,NaN,NaN,531.2,0,1119.2,129.1,0,0,0,0.15383,113.42,22.764,1,0
34,NaN,NaN,NaN,531.8,0,1463.3,176.6,0,0,0,0.11397,113.45,22.441,1,0
35,NaN,NaN,NaN,531.9,0,0.2,-65.6,0,0,0,0.23443,113.56,22.348,1,0
36,NaN,NaN,NaN,531.4,0,805.8,94.6,0,0,0,0.17845,113.33,22.348,1,0
37,NaN,NaN,NaN,530.2,0,2253.3,285.5,0,0,0,0.091431,113.22,22.541,1,0
38,NaN,NaN,NaN,532.3,0,694.7,87.3,0,0,0,0.13294,113.11,22.426,1,0
39,NaN,NaN,NaN,530,0,2400,19.7,0,0,0,0.0074668,113.05,22.828,1,0
40,NaN,NaN,NaN,531.4,0,1424,53.4,0,0,0,0.0093167,113.26,23.094,1,0
41,NaN,NaN,NaN,533.3,0,1461.2,112.6,0,0,0,0.14899,113.83,22.735,1,0
70,NaN,NaN,NaN,529.8,0,2931,-439.2,0,0,0,0.095545,112.89,23.309,1,0
71,NaN,NaN,NaN,530,0,1371.5,-62.3,0,0,0,0.20195,112.82,23.094,1,0
72,NaN,NaN,NaN,533.6,0,1249.1,-90.6,0,0,0,0.11198,112.17,23.108,1,0
73,NaN,NaN,NaN,529.5,0,0,0,3859.2,-330.1,0,0.33351,112.79,22.57,2,0
79,NaN,NaN,NaN,533.6,0,0,0,2818.8,-260.6,0,0.1434,111.89,23.137,2,0
