3,2,NaN,27,NaN,0.00125,0.01628,0.7634,4,111.6,0.42747,111.37,21.989,3000
27,21,NaN,65,NaN,0.00079,0.01158,0.52284,4,72.064,0.65452,113.68,23.571,1420
34,27,NaN,29,NaN,0.00056,0.01316,0.651,3,100.2,0.57199,112.21,22.441,3990
37,30,NaN,31,NaN,0.00059,0.00678,0.31492,4,37.789,0.9308,112.6,22.498,3143
42,32,NaN,33,NaN,0.00059,0.01498,0.78525,4,91.298,0.54155,113.07,22.552,3990
51,41,NaN,42,NaN,6e-05,0.00166,0.076131,4,29.473,0.24605,113.96,22.703,3990
53,42,NaN,44,NaN,9e-05,0.00088,0.041828,4,18.607,0.75582,114.03,22.728,2830
58,46,NaN,47,NaN,0.00204,0.02335,0.02859,2,17.832,0.56662,113.82,23.022,1810
67,52,NaN,55,NaN,0.00087,0.01989,0.98175,3,194.46,0.25714,115.71,23.165,3990
68,53,NaN,54,NaN,0.00101,0.01361,0.62053,3,94.03,0.28373,115.81,23.348,2830
70,54,NaN,58,NaN,0.0011,0.01309,0.6195,3,106.34,1.0115,115.96,23.872,2830
74,59,NaN,77,NaN,0.00047,0.00971,0.52194,4,81.36,0.27808,114.01,23.603,4722
83,65,NaN,66,NaN,0.00045,0.00479,0.21865,4,28.016,0.11413,113.55,23.388,2830
84,65,NaN,70,NaN,0.00047,0.0043,0.1925,4,59.113,0.12174,113.16,23.341,3150
88,69,NaN,72,NaN,0.00049,0.01069,0.56403,3,87.355,1.2826,112.28,23.485,3990
